date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2019-06-22T00:00:00Z,296.79,315.54,293.46,308.49,NaN,241.2432,290407.7083,140821.7309,6941269.46,71.02193044
2019-06-23T00:00:00Z,308.5,318,304.6,306.98,204.9342,244.1458,166054.99,141323.9196,6775214.47,70.09048991
2019-06-24T00:00:00Z,306.85,313.1,295.68,311,NaN,247.1408,160200.2853,137440.5686,6935414.755,71.17435561
2019-06-25T00:00:00Z,311,317.4,306,316.59,NaN,250.0512,136811.087,137260.2657,7072225.842,72.65812012
2019-06-26T00:00:00Z,316.59,364.49,308,334.86,NaN,253.4182,554774.4233,158607.9706,7627000.265,76.85195802
2019-06-27T00:00:00Z,334.81,343.82,273.5,293.47,NaN,255.896,502689.1802,177702.3218,7124311.085,55.92413315
2019-06-28T00:00:00Z,293.47,312.9,289.66,309.37,NaN,258.6812,208306.5923,185440.8494,7332617.677,60.38680921
2019-06-29T00:00:00Z,309.38,324.5,291.25,317,NaN,261.577,184051.601,188292.7662,7516669.278,62.3564937
2019-06-30T00:00:00Z,317.04,323.61,286,290.07,201.7474,263.528,164606.3883,190293.4587,7352062.89,52.44464836
2019-07-01T00:00:00Z,290.08,301.32,278.65,293.7,NaN,265.6374,184839.7602,194273.0474,7536902.65,53.51720448
2019-07-02T00:00:00Z,293.72,296.24,270.42,291.25,NaN,267.5322,221624.5149,197166.7415,7315278.135,52.65403431
2019-07-03T00:00:00Z,291.25,303.83,289.61,301.79,NaN,269.2192,105705.7194,195808.9013,7420983.855,55.9459454
2019-07-04T00:00:00Z,301.77,304,280.1,282.8,NaN,269.8952,100227.8016,194284.8974,7320756.053,49.29562549
2019-07-05T00:00:00Z,282.81,294.9,280,288,NaN,270.3652,106439.5831,194370.6255,7427195.636,51.01281974
2019-07-06T00:00:00Z,287.83,298.25,285.31,287.57,NaN,271.2248,67042.78493,191234.3716,7360152.851,50.85943036
2019-07-07T00:00:00Z,287.58,310.7,283.87,306.34,198.7362,272.671,124381.7232,191951.1245,7484534.574,56.94523093
2019-07-08T00:00:00Z,306.33,315,302.24,313.24,NaN,273.714,107535.4049,191147.8341,7592069.979,58.95747697
2019-07-09T00:00:00Z,313.23,318.6,302.78,307.92,NaN,274.828,127697.0137,192938.2502,7464372.966,56.755001
2019-07-10T00:00:00Z,307.95,314.98,281.3,288.64,NaN,275.506,188864.0391,198419.3546,7275508.926,49.53315302
2019-07-11T00:00:00Z,288.68,288.68,261.57,268.68,NaN,276.0132,220929.7121,196159.5156,7054579.214,43.37907888
2019-07-12T00:00:00Z,268.88,279.3,266.37,275.55,NaN,276.6114,87768.44403,186027.5524,7142347.658,45.87178642
2019-07-13T00:00:00Z,275.62,276.34,261.79,269.04,NaN,276.9956,82315.44164,181840.575,7060032.217,43.89953077
2019-07-14T00:00:00Z,268.99,270.02,222.7,225.76,193.9312,276.4798,233603.4594,185510.7337,6826428.757,33.5667394
2019-07-15T00:00:00Z,225.96,235.87,203,228.28,NaN,275.678,396067.7873,198473.5687,7222496.545,34.53296475
2019-07-16T00:00:00Z,228.2,234.58,190.11,198.89,NaN,274.231,405991.7523,191034.4352,6816504.792,29.1990579
2019-07-17T00:00:00Z,198.92,221,192.04,211.4,NaN,273.036,264597.4108,179129.8467,7081102.203,33.88053899
2019-07-18T00:00:00Z,211.55,229.99,206.2,226.31,NaN,272.1744,227395.8568,180084.3099,7308498.06,39.05304789
2019-07-19T00:00:00Z,226.29,226.78,213.15,221.21,NaN,271.5062,118548.9661,176809.1782,7189949.094,37.95917729
2019-07-20T00:00:00Z,221.3,236.58,219.98,228.89,NaN,270.7292,108052.8317,173981.5004,7298001.926,40.65487857
