,Date,Fear and Greed Value,Fear and Greed Classification,Bitcoin,Ethereum,S&P 500,Moving Avg FG Index
224,2018-09-13,20,Extreme Fear,6517.31005859375,211.35400390625,2904.179931640625,19.266666666666666
225,2018-09-14,23,Extreme Fear,6512.7099609375,211.74899291992188,2904.97998046875,19.433333333333334
226,2018-09-15,24,Extreme Fear,6543.2001953125,223.07400512695312,,19.533333333333335
227,2018-09-16,28,Fear,6517.18017578125,220.58900451660156,,19.833333333333332
228,2018-09-17,25,Extreme Fear,6281.2001953125,197.875,2888.800048828125,19.866666666666667
229,2018-09-18,21,Extreme Fear,6371.2998046875,209.97500610351562,2904.31005859375,19.666666666666668
230,2018-09-19,24,Extreme Fear,6398.5400390625,209.968994140625,2907.949951171875,19.6
231,2018-09-20,24,Extreme Fear,6519.669921875,224.59100341796875,2930.75,19.766666666666666
232,2018-09-21,31,Fear,6734.9501953125,246.58399963378906,2929.669921875,20.1
233,2018-09-22,35,Fear,6721.97998046875,240.47999572753906,,20.666666666666668
234,2018-09-23,38,Fear,6710.6298828125,244.3300018310547,,21.3
235,2018-09-24,43,Fear,6595.41015625,228.72999572753906,2919.3701171875,22.0
236,2018-09-25,37,Fear,6446.47021484375,218.5050048828125,2915.56005859375,22.6
237,2018-09-26,37,Fear,6495.0,215.8470001220703,2905.969970703125,23.233333333333334
238,2018-09-27,42,Fear,6676.75,228.49400329589844,2914.0,24.0
239,2018-09-28,42,Fear,6644.1298828125,222.40199279785156,2913.97998046875,24.766666666666666
240,2018-09-29,37,Fear,6601.9599609375,231.63499450683594,,25.266666666666666
241,2018-09-30,34,Fear,6625.56005859375,232.84800720214844,,25.833333333333332
8,2018-10-01,35,Fear,6589.6201171875,230.76800537109375,2924.590087890625,26.3
19,2018-10-02,33,Fear,6556.10009765625,227.18099975585938,2923.429931640625,26.8
46,2018-10-03,36,Fear,6502.58984375,220.48899841308594,2925.510009765625,27.366666666666667
76,2018-10-04,29,Fear,6576.68994140625,222.21800231933594,2901.610107421875,27.466666666666665
102,2018-10-05,37,Fear,6622.47998046875,227.6009979248047,2885.570068359375,28.133333333333333
132,2018-10-06,34,Fear,6588.31005859375,225.1199951171875,,28.8
161,2018-10-07,29,Fear,6602.9501953125,226.11900329589844,,29.2
191,2018-10-08,26,Fear,6652.22998046875,229.2550048828125,2884.429931640625,29.466666666666665
221,2018-10-09,31,Fear,6642.64013671875,227.98199462890625,2880.340087890625,30.066666666666666
250,2018-10-10,28,Fear,6585.52978515625,225.7689971923828,2785.679931640625,30.5
280,2018-10-11,19,Extreme Fear,6256.240234375,189.49899291992188,2728.3701171875,30.533333333333335
309,2018-10-12,13,Extreme Fear,6274.580078125,196.7270050048828,2767.1298828125,30.5
253,2018-10-13,15,Extreme Fear,6285.990234375,199.84100341796875,,30.333333333333332
254,2018-10-14,18,Extreme Fear,6290.93017578125,195.71499633789062,,30.166666666666668
255,2018-10-15,20,Extreme Fear,6596.5400390625,209.70399475097656,2750.7900390625,30.033333333333335
256,2018-10-16,24,Extreme Fear,6596.10986328125,210.1199951171875,2809.919921875,29.9
257,2018-10-17,23,Extreme Fear,6544.43017578125,207.08299255371094,2809.2099609375,29.833333333333332
258,2018-10-18,26,Fear,6476.7099609375,203.3520050048828,2768.780029296875,30.0
259,2018-10-19,24,Extreme Fear,6465.41015625,203.7270050048828,2767.780029296875,30.0
260,2018-10-20,21,Extreme Fear,6489.18994140625,205.42999267578125,,29.9
261,2018-10-21,21,Extreme Fear,6482.35009765625,205.14199829101562,,29.566666666666666
262,2018-10-22,27,Fear,6487.16015625,204.04400634765625,2755.8798828125,29.3
263,2018-10-23,24,Extreme Fear,6475.740234375,204.33599853515625,2740.68994140625,28.833333333333332
264,2018-10-24,23,Extreme Fear,6495.83984375,203.8520050048828,2656.10009765625,28.166666666666668
265,2018-10-25,25,Extreme Fear,6476.2900390625,202.718994140625,2705.570068359375,27.766666666666666
266,2018-10-26,29,Fear,6474.75,203.32899475097656,2658.68994140625,27.5
267,2018-10-27,33,Fear,6480.3798828125,204.2100067138672,,27.2
268,2018-10-28,35,Fear,6486.39013671875,205.36599731445312,,26.966666666666665
269,2018-10-29,34,Fear,6332.6298828125,197.2469940185547,2641.25,26.866666666666667
270,2018-10-30,31,Fear,6334.27001953125,197.55599975585938,2682.6298828125,26.766666666666666
271,2018-10-31,32,Fear,6317.60986328125,197.38099670410156,2711.739990234375,26.666666666666668
9,2018-11-01,29,Fear,6377.77978515625,198.8719940185547,2740.3701171875,26.533333333333335
20,2018-11-02,36,Fear,6388.43994140625,200.63499450683594,2723.06005859375,26.533333333333335
47,2018-11-03,36,Fear,6361.259765625,200.18600463867188,,26.766666666666666
