,Date,Wallet Balance,BTC Buy/Sell (BTC)
279,2021-07-05,57470130195807212985,-1500.00489328
280,2021-07-08,47361803134800274424,-3000.01
281,2021-07-11,6710403384,7.77e-06
282,2021-07-12,60209412815983622277,2702.00000777
283,2021-07-14,3760103222,122.0
284,2021-07-15,36943929533835389835,198.00001
285,2021-07-16,3697689415,38.0
286,2021-07-17,3664503938,107.0
287,2021-07-18,369230243337390066823695715892,0.0008553899999999999
288,2021-07-19,3663454943,0.00031663
289,2021-07-21,34582303613462859713,156.00006666
290,2021-07-22,37410772333757075251,222.00053
291,2021-07-28,45243267074353664841,-3000.0099
292,2021-07-29,4532163328,0.00020603
293,2021-07-30,4520893607,0.00099029
294,2021-08-01,37526583663724327260371213559636765668983748836324372886729436974543143686674753363258095535971063993552616925,6502.0001028
295,2021-08-05,5887557674,0.0006942
296,2021-08-09,5098409832,490.0
297,2021-08-10,58504684915946070696,-1500.00497969
298,2021-08-11,7086326252,7.77e-06
299,2021-08-12,597656700459836613615992574089,388.00000777
300,2021-08-17,5121702074,5.47e-06
301,2021-08-21,5308063945,-1500.005
302,2021-08-25,5238249763,0.00058008
303,2021-08-26,51237411825366068683,38.00000572
304,2021-08-27,5209869487,466.0
305,2021-08-28,5396236330,88.0
306,2021-08-29,5345100685,5.56e-06
307,2021-09-01,39981125933957105857393186273539814053463959388055,1800.00002561
308,2021-09-02,39045461943709295982,-1499.98
309,2021-09-04,58764742605824951680,910.0
310,2021-09-05,5787542930,-3000.01
311,2021-09-06,3708951921,3706.0
312,2021-09-09,5090821649,1465.0
313,2021-09-10,58648164475780941904,-1500.0045
314,2021-09-11,729883382872348623757223657191,-1302.0049922300002
315,2021-09-12,5903069549597955386559795034215959861021,133.00006848
316,2021-09-14,5016708067,582.0
317,2021-09-17,5325525884,2.2e-05
318,2021-09-22,4658870650,321.0
319,2021-09-23,4857699962,408.0
320,2021-09-24,5021886097,208.0
321,2021-09-25,4818165493,290.0
322,2021-09-27,49043937844913712531,0.00068987
323,2021-09-29,4647212986,28.0
324,2021-09-30,48609156784702601323,36.000011
325,2021-10-04,6072848890,0.00091299
326,2021-10-07,3938462727,386.0
327,2021-10-08,5100190102,0.00021635
328,2021-10-09,5171965237,285.0
329,2021-10-11,71355630147124976881,1.6649999999999998e-05
330,2021-10-12,57344217885731275329,317.00050777
331,2021-10-13,578609699658226909415918783614,-1500.0049855700001
332,2021-10-14,60873285066066780032,494.00000777
333,2021-10-15,6244300732,7.77e-06
334,2021-10-16,6534459494647880230764917745156558225819,0.00018437
335,2021-10-17,641163581564194525996441910043,0.00010207
336,2021-10-18,6567638065,7.77e-06
337,2021-10-19,66023954076535250481,9.443e-05
338,2021-10-20,67591308956789326333,1.777e-05
339,2021-10-21,693374643768701241856862450066,0.0001298
340,2021-10-22,6674673372,7.77e-06
341,2021-10-23,6440281899,7.77e-06
342,2021-10-24,6443895739,7.77e-06
343,2021-10-25,66434462126420460003,4.11e-05
344,2021-10-26,66307745816693382896,596.00000777
345,2021-10-27,64360344596442405641,105.00000777
346,2021-10-28,656019843363501951396303835341,1161.00001443
347,2021-10-29,65685799246615510017653688158966387577656577256179,273.00002882
348,2021-10-30,6638516240,7.77e-06
349,2021-10-31,6594411328,7.77e-06
350,2021-11-07,3869522371,0.00069
351,2021-11-08,5045390840,0.00041968
352,2021-11-09,50263851335000412825,218.00002
353,2021-11-10,6043939411,7.77e-06
354,2021-11-11,6937280711693403567869340356776925609022,3.552e-05
355,2021-11-12,57468405905677969861569989562657312883605750238188,347.00154537000003
356,2021-11-13,69239442916953235043,1123.00000777
357,2021-11-14,6962034836,7.77e-06
358,2021-11-15,7117891673,7.77e-06
359,2021-11-16,66618918026734545085,207.00000777
360,2021-11-17,651833611565982346766582871645,1647.00001323
361,2021-11-18,669062258967078655376654077081,700.0001961400001
362,2021-11-19,62336508186366930675,484.00000777
363,2021-11-20,65720602536614453561,1034.00000777
364,2021-11-21,6640230782,7.77e-06
365,2021-11-22,64231994406673541388,4.558e-05
366,2021-11-23,64152703396412684340,854.00000777
367,2021-11-24,64536314736536670532,616.00000777
368,2021-11-25,65189897146608312598,105.00000777
369,2021-11-26,6269724751,7.77e-06
370,2021-11-27,63214579346229698727,991.00000777
371,2021-11-28,6246834241,7.77e-06
372,2021-11-29,6592334292,7.77e-06
373,2021-11-30,65897991346615270949,356.00000777
374,2021-12-01,302035899130684239853201035894,-4500.003
375,2021-12-04,5948913107,-1500.005
376,2021-12-06,3986100278,0.00033
377,2021-12-10,613347381560704711496105087035,0.00013873000000000002
378,2021-12-11,6924483594,7.77e-06
379,2021-12-12,5862946568,7.77e-06
380,2021-12-13,5820803035,7.77e-06
381,2021-12-14,562553630856107862225611786413,288.99863321
382,2021-12-15,5801118312576221670157685257155604274880,258.00064403000005
383,2021-12-16,58574821565844229557,0.00023181
384,2021-12-17,5728175499,7.77e-06
385,2021-12-18,55791896115516787773,137.00000777
386,2021-12-19,57046185965624952611,0.00048777
387,2021-12-20,5590480657,7.77e-06
388,2021-12-21,56572775095632828084,136.00000777
389,2021-12-22,5912864108,7.77e-06
390,2021-12-23,5803726435,7.77e-06
391,2021-12-24,6127370128,7.77e-06
392,2021-12-25,6105498577,7.77e-06
393,2021-12-26,5989815674,7.77e-06
394,2021-12-27,6117990087,7.77e-06
395,2021-12-28,5921570783,7.77e-06
396,2021-12-29,57621781145722997563,4.9630000000000004e-05
397,2021-12-30,56128164295580522066,120.00000777
398,2021-12-31,577833829257783382925778338287577651348558160299595660694379,241.00013592
399,2022-01-01,5585849984554211073357044934575778004893577800489357723680895772368088,6.00017263
400,2022-03-01,5676987326,2.121e-05
401,2022-04-01,5602793539,456.0
402,2022-05-01,5579345775,372.0
403,2022-06-01,52854906835551744651,179.00001
404,2022-07-01,52036948865237835990,867.0
405,2022-08-01,51314653845131130377,276.0
406,2022-11-01,51941016595150914402,433.0
